Model Name,Production Year,Mileage,Engine Capacity,Price,Currency,City,Region
Ford Fiesta Mk7,2009,75 653 km,1 258 cm3,14 900 PLN,PLN,Bytom,(Śląskie)
Ford Fiesta Mk7,2009,136 982 km,1 242 cm3,18 000 PLN,PLN,Piaseczno,(Mazowieckie)
Ford Fiesta Mk7,2011,121 000 km,1 300 cm3,18 900 PLN,PLN,Stargard Szczeciński,(Zachodniopomorskie)
Ford Fiesta Mk7,2009,126 000 km,1 242 cm3,12 900 PLN,PLN,Wrocław,(Dolnośląskie)
Ford Fiesta Mk7,2010,104 509 km,1 242 cm3,17 700 PLN,PLN,Radomsko,(Łódzkie)
Ford Fiesta Mk7,2009,147 600 km,1 250 cm3,18 800 PLN,PLN,Łask,(Łódzkie)
Ford C-MAX I,2009,129 000 km,1 600 cm3,17 900 PLN,PLN,Dzierżoniów,(Dolnośląskie)
Ford KA II,2013,125 000 km,1 242 cm3,9 900 PLN,PLN,Długołęka,(Dolnośląskie)
Ford Fiesta Mk7,2011,106 873 km,1 242 cm3,20 000 PLN,PLN,Poznań,(Wielkopolskie)
Ford Focus Mk2,2010,123 000 km,1 600 cm3,19 900 PLN,PLN,Olbrachtów,(Lubuskie)
Ford Fiesta Mk7,2012,125 000 km,1 242 cm3,17 900 PLN,PLN,Katowice,(Śląskie)
Ford Fiesta Mk7,2009,119 000 km,1 242 cm3,9 900 PLN,PLN,Leszno,(Wielkopolskie)
Ford Focus Mk3,2012,149 400 km,1 999 cm3,14 990 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2011,119 300 km,1 225 cm3,15 900 PLN,PLN,Jawor,(Dolnośląskie)
Ford Fiesta Mk7,2010,140 000 km,1 242 cm3,18 900 PLN,PLN,Lublin,(Lubelskie)
Ford Focus Mk2,2010,124 000 km,1 800 cm3,17 999 PLN,PLN,Rzeszów,(Podkarpackie)
Ford Mondeo Mk4,2009,136 000 km,2 500 cm3,6 900 PLN,PLN,Kurów,(Lubelskie)
Ford Focus Mk3,2015,120 000 km,2 000 cm3,15 000 PLN,PLN,Siedlce,(Mazowieckie)
Ford Fiesta Mk7,2009,150 000 km,1 400 cm3,15 400 PLN,PLN,Kutno,(Łódzkie)
Ford Focus Mk2,2010,119 700 km,1 600 cm3,15 888 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,133 200 km,1 242 cm3,15 200 PLN,PLN,Orneta,(Warmińsko-mazurskie)
Ford KA II,2012,141 000 km,1 298 cm3,14 333 PLN,PLN,Legionowo,(Mazowieckie)
Ford KA II,2009,112 420 km,1 242 cm3,13 500 PLN,PLN,Łuków,(Lubelskie)
Ford Fiesta Mk7,2010,139 800 km,1 245 cm3,19 400 PLN,PLN,Włostowa,(Opolskie)
Ford Fiesta Mk7,2010,123 000 km,1 250 cm3,18 400 PLN,PLN,Jawor,(Dolnośląskie)
Ford Fiesta Mk7,2009,100 000 km,1 242 cm3,13 700 PLN,PLN,Międzyrzecz,(Lubuskie)
Ford Fiesta Mk7,2009,111 550 km,1 245 cm3,14 950 PLN,PLN,Wałbrzych,(Dolnośląskie)
Ford C-MAX I,2009,147 000 km,1 800 cm3,18 500 PLN,PLN,Złotów,(Wielkopolskie)
Ford Fiesta Mk7,2010,130 000 km,1 242 cm3,15 900 PLN,PLN,Gryfice,(Zachodniopomorskie)
Ford Fiesta Mk7,2011,134 634 km,1 200 cm3,19 900 PLN,PLN,Dąbrowa,(Pomorskie)
Ford Fiesta Mk7,2010,107 400 km,1 242 cm3,17 300 PLN,PLN,Tczew,(Pomorskie)
Ford Fiesta Mk7,2010,114 000 km,1 250 cm3,19 900 PLN,PLN,Olbrachtów,(Lubuskie)
Ford Fiesta Mk7,2013,89 576 km,998 cm3,15 900 PLN,PLN,Węgierki,(Wielkopolskie)
Ford KA II,2015,147 000 km,1 242 cm3,14 500 PLN,PLN,Słotwina,(Dolnośląskie)
Ford Fiesta Mk7,2009,131 000 km,1 388 cm3,17 300 PLN,PLN,Jawor,(Dolnośląskie)
Ford Focus Mk2,2009,144 000 km,1 600 cm3,14 600 PLN,PLN,Piaski,(Wielkopolskie)
Ford Fiesta Mk7,2010,90 000 km,1 250 cm3,16 600 PLN,PLN,Przeczyce,(Śląskie)
Ford Fiesta Mk7,2010,123 145 km,1 242 cm3,18 900 PLN,PLN,Czersk,(Pomorskie)
Ford Fiesta Mk7,2011,137 000 km,1 200 cm3,18 900 PLN,PLN,Płock,(Mazowieckie)
Ford Fiesta Mk7,2010,80 700 km,1 242 cm3,17 900 PLN,PLN,Żory,(Śląskie)
Ford Focus Mk2,2009,142 507 km,1 593 cm3,18 900 PLN,PLN,Gliwice,(Śląskie)
Ford Fiesta Mk7,2009,135 000 km,1 300 cm3,17 900 PLN,PLN,Lubomierz,(Dolnośląskie)
Ford Fusion,2013,100 000 km,2 500 cm3,19 900 PLN,PLN,Reda,(Pomorskie)
Ford Fiesta Mk7,2010,148 000 km,1 250 cm3,18 900 PLN,PLN,Sosnowiec,(Śląskie)
Ford KA II,2010,101 000 km,1 249 cm3,16 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford KA II,2009,102 000 km,1 242 cm3,10 750 PLN,PLN,Drezdenko,(Lubuskie)
Ford Fiesta Mk7,2012,100 000 km,1 250 cm3,17 800 PLN,PLN,Kostrzyn,(Wielkopolskie)
Ford KA II,2009,89 000 km,1 242 cm3,13 999 PLN,PLN,Żory,(Śląskie)
Ford KA II,2009,145 000 km,1 242 cm3,10 600 PLN,PLN,Koszyce,(Małopolskie)
Ford Mondeo Mk4,2013,110 000 km,1 596 cm3,5 100 PLN,PLN,Kraków,(Małopolskie)
Ford KA II,2010,138 854 km,1 200 cm3,9 650 PLN,PLN,Dzierżoniów,(Dolnośląskie)
Ford Fiesta Mk7,2009,92 473 km,1 388 cm3,19 497 PLN,PLN,Piaseczno,(Mazowieckie)
Ford Fiesta Mk7,2011,105 369 km,1 250 cm3,19 200 PLN,PLN,Bławatków,(Świętokrzyskie)
Ford Fiesta Mk7,2009,117 000 km,1 242 cm3,12 500 PLN,PLN,Żywiec,(Śląskie)
Ford Fiesta Mk7,2009,80 000 km,1 242 cm3,8 900 PLN,PLN,Żywiec,(Śląskie)
Ford Fiesta Mk7,2010,80 000 km,1 300 cm3,19 900 PLN,PLN,Chmielnik,(Świętokrzyskie)
Ford Fiesta Mk7,2012,126 967 km,1 242 cm3,17 400 PLN,PLN,Łańcut,(Podkarpackie)
Ford Mondeo Mk4,2009,89 000 km,1 596 cm3,18 600 PLN,PLN,Kłodzko,(Dolnośląskie)
Ford KA II,2013,123 000 km,1 300 cm3,15 900 PLN,PLN,Kórnik,(Wielkopolskie)
Ford Fiesta Mk7,2009,132 000 km,1 400 cm3,14 900 PLN,PLN,Siechnice,(Dolnośląskie)
Ford KA II,2012,87 312 km,1 242 cm3,13 500 PLN,PLN,Rojów,(Wielkopolskie)
Ford Fiesta Mk7,2009,110 000 km,1 250 cm3,19 900 PLN,PLN,Koszalin,(Zachodniopomorskie)
Ford Focus Mk2,2009,148 220 km,1 600 cm3,13 400 PLN,PLN,Słupca,(Wielkopolskie)
Ford KA II,2016,112 898 km,1 242 cm3,18 100 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2009,109 000 km,1 242 cm3,17 900 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2010,139 000 km,1 242 cm3,18 900 PLN,PLN,Mielec,(Podkarpackie)
Ford Focus Mk2,2010,99 172 km,1 596 cm3,17 000 PLN,PLN,Kraków,(Małopolskie)
Ford Fiesta Mk7,2010,77 501 km,1 242 cm3,14 900 PLN,PLN,Kotlin,(Wielkopolskie)
Ford KA II,2010,99 000 km,1 200 cm3,12 999 PLN,PLN,Bielsko-Biała,(Śląskie)
Ford Fiesta Mk7,2012,118 000 km,1 200 cm3,18 900 PLN,PLN,Radziejowice,(Mazowieckie)
Ford Focus Mk2,2009,116 931 km,1 388 cm3,13 900 PLN,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Ford KA II,2013,113 000 km,1 249 cm3,15 900 PLN,PLN,Świebodzin,(Lubuskie)
Ford Fiesta Mk7,2012,92 401 km,1 242 cm3,17 900 PLN,PLN,Wągrowiec,(Wielkopolskie)
Ford KA II,2011,100 906 km,1 200 cm3,14 900 PLN,PLN,Cieszyn,(Śląskie)
Ford Fiesta Mk7,2011,86 000 km,1 242 cm3,17 999 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2009,132 727 km,1 250 cm3,18 500 PLN,PLN,Męcina,(Małopolskie)
Ford Fiesta Mk7,2009,130 000 km,1 200 cm3,18 800 PLN,PLN,Dobroszyce,(Dolnośląskie)
Ford KA II,2009,140 000 km,1 200 cm3,10 900 PLN,PLN,Ostrów Wielkopolski,(Wielkopolskie)
Ford KA II,2010,91 946 km,1 242 cm3,13 500 PLN,PLN,Zieleniewo,(Zachodniopomorskie)
Ford C-MAX I,2009,122 500 km,1 600 cm3,19 900 PLN,PLN,Gniezno,(Wielkopolskie)
Ford Focus Mk2,2009,105 000 km,1 600 cm3,15 999 PLN,PLN,Olsztyn,(Warmińsko-mazurskie)
Ford Fiesta Mk7,2009,138 000 km,1 242 cm3,18 400 PLN,PLN,Dębica,(Podkarpackie)
Ford Fiesta Mk7,2010,91 560 km,1 242 cm3,18 900 PLN,PLN,Rumia,(Pomorskie)
Ford Fiesta Mk7,2013,100 000 km,1 000 cm3,18 900 PLN,PLN,Wrocław,(Dolnośląskie)
Ford KA II,2009,106 222 km,1 242 cm3,11 800 PLN,PLN,Lipno,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2012,78 000 km,1 242 cm3,19 990 PLN,PLN,Kocmyrzów,(Małopolskie)
Ford Focus Mk2,2009,120 000 km,1 600 cm3,17 900 PLN,PLN,Chorzów,(Śląskie)
Ford Fiesta Mk7,2009,108 440 km,1 242 cm3,18 900 PLN,PLN,Kraków,(Małopolskie)
Ford Transit Courier,2016,75 000 km,1 000 cm3,15 800 PLN,PLN,Warszawa,(Mazowieckie)
Ford Focus Mk2,2009,119 000 km,1 599 cm3,15 900 PLN,PLN,Zduńska Wola,(Łódzkie)
Ford KA II,2010,90 000 km,1 242 cm3,12 800 PLN,PLN,Roztoka,(Dolnośląskie)
Ford Fiesta Mk7,2009,95 000 km,1 242 cm3,17 900 PLN,PLN,Praszka,(Opolskie)
Ford Fiesta Mk7,2012,112 000 km,1 242 cm3,19 999 PLN,PLN,Imielin,(Śląskie)
Ford Focus Mk3,2012,107 000 km,998 cm3,16 900 PLN,PLN,Płock,(Mazowieckie)
Ford KA II,2011,114 200 km,1 242 cm3,11 499 PLN,PLN,Poznań,(Wielkopolskie)
Ford Fiesta Mk7,2009,121 000 km,1 242 cm3,16 900 PLN,PLN,Ryczów,(Małopolskie)
Ford Fiesta Mk7,2010,110 000 km,1 250 cm3,16 900 PLN,PLN,Niegosław,(Lubuskie)
Ford KA II,2009,130 000 km,1 250 cm3,13 400 PLN,PLN,Świecie,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2011,116 893 km,1 250 cm3,19 900 PLN,PLN,Jędrzejów,(Świętokrzyskie)
Ford Fiesta Mk7,2011,85 130 km,1 200 cm3,17 500 PLN,PLN,Tomaszów Mazowiecki,(Łódzkie)
Ford Fiesta Mk7,2011,93 128 km,1 242 cm3,18 900 PLN,PLN,Grudziądz,(Kujawsko-pomorskie)
Ford Focus Mk2,2011,129 000 km,1 600 cm3,17 800 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,148 000 km,1 225 cm3,17 900 PLN,PLN,Opalenica,(Wielkopolskie)
Ford Fiesta Mk7,2009,120 000 km,1 400 cm3,16 400 PLN,PLN,Zielona Góra,(Lubuskie)
Ford Fiesta Mk7,2009,122 000 km,1 248 cm3,15 990 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,138 000 km,1 242 cm3,18 950 PLN,PLN,Witkowo,(Wielkopolskie)
Ford Fusion,2011,145 000 km,1 400 cm3,16 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Focus Mk2,2010,135 000 km,1 800 cm3,16 999 PLN,PLN,Nowa Wieś Rzeczna,(Pomorskie)
Ford Fiesta Mk7,2009,128 000 km,1 242 cm3,19 900 PLN,PLN,Wilkowa,(Świętokrzyskie)
Ford Fiesta Mk7,2012,133 000 km,1 242 cm3,18 500 PLN,PLN,Grabówki,(Małopolskie)
Ford Fiesta Mk7,2010,110 000 km,1 248 cm3,15 900 PLN,PLN,Jastrzębie-Zdrój,(Śląskie)
Ford KA II,2011,78 460 km,1 242 cm3,17 000 PLN,PLN,Katowice,(Śląskie)
Ford KA II,2009,120 000 km,1 200 cm3,12 515 PLN,PLN,Dzierżążno,(Pomorskie)
Ford Fusion,2014,76 189 km,2 000 cm3,18 200 PLN,PLN,Kraków,(Małopolskie)
Ford KA II,2014,86 000 km,1 300 cm3,15 900 PLN,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,140 571 km,1 250 cm3,15 500 PLN,PLN,Gorzów Wielkopolski,(Lubuskie)
Ford KA II,2009,75 700 km,1 242 cm3,13 500 PLN,PLN,Gorzów,(Małopolskie)
Ford Fiesta Mk7,2010,129 000 km,Benzyna,18 400 PLN,PLN,Lublin,(Lubelskie)
Ford Focus Mk3,2011,90 016 km,1 596 cm3,16 500 PLN,PLN,Kostrzyn nad Odrą,(Lubuskie)
Ford Fiesta Mk7,2009,132 910 km,1 242 cm3,17 399 PLN,PLN,Odrowąż,(Opolskie)
Ford Fiesta Mk7,2011,128 000 km,1 242 cm3,18 900 PLN,PLN,Sochaczew,(Mazowieckie)
Ford KA II,2015,102 896 km,1 248 cm3,18 900 PLN,PLN,Trzemeszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,124 200 km,1 249 cm3,14 900 PLN,PLN,Jawor,(Dolnośląskie)
Ford Fiesta Mk7,2010,90 000 km,1 300 cm3,19 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Fiesta Mk7,2009,150 000 km,1 250 cm3,14 900 PLN,PLN,Knurów,(Śląskie)
Ford Fiesta Mk7,2009,147 000 km,1 250 cm3,18 900 PLN,PLN,Świecie,(Kujawsko-pomorskie)
Ford KA II,2009,116 000 km,1 242 cm3,14 900 PLN,PLN,Żory,(Śląskie)
Ford Fusion,2009,130 000 km,1 242 cm3,11 900 PLN,PLN,Ustroń,(Śląskie)
Ford Fiesta Mk7,2010,140 000 km,1 242 cm3,17 900 PLN,PLN,Żory,(Śląskie)
Ford Fiesta Mk7,2010,117 000 km,1 242 cm3,14 900 PLN,PLN,Krzewie Wielkie,(Dolnośląskie)
Ford Fiesta Mk7,2009,91 000 km,1 250 cm3,9 400 PLN,PLN,Krobia,(Wielkopolskie)
Ford KA II,2013,75 000 km,1 300 cm3,4 500 PLN,PLN,Rakoniewice,(Wielkopolskie)
Ford Fiesta Mk7,2011,122 000 km,1 200 cm3,16 900 PLN,PLN,Prusy,(Małopolskie)
Ford KA II,2012,131 000 km,1 200 cm3,17 400 PLN,PLN,Jarosław,(Podkarpackie)
Ford KA II,2009,125 000 km,1 242 cm3,12 000 PLN,PLN,Puszczykowo,(Wielkopolskie)
Ford Fiesta Mk7,2010,140 000 km,1 242 cm3,17 900 PLN,PLN,Paczków,(Opolskie)
Ford KA II,2010,100 000 km,1 250 cm3,13 999 PLN,PLN,Kochanów,(Małopolskie)
Ford KA II,2010,129 000 km,1 242 cm3,13 900 PLN,PLN,Żory,(Śląskie)
Ford Focus Mk3,2012,116 000 km,998 cm3,18 900 PLN,PLN,Pniewy,(Wielkopolskie)
Ford Fusion,2009,137 000 km,1 400 cm3,12 400 PLN,PLN,Miechów,(Małopolskie)
Ford Fiesta Mk7,2010,109 600 km,1 250 cm3,17 900 PLN,PLN,Bojanowo,(Wielkopolskie)
Ford KA II,2009,108 000 km,1 242 cm3,13 500 PLN,PLN,Tarnobrzeg,(Podkarpackie)
Ford Fiesta Mk7,2009,123 870 km,1 242 cm3,19 000 PLN,PLN,Bielany Wrocławskie,(Dolnośląskie)
Ford Fiesta Mk7,2010,117 000 km,1 388 cm3,19 499 PLN,PLN,Leszno,(Wielkopolskie)
Ford KA II,2015,129 482 km,1 242 cm3,19 900 PLN,PLN,Łódź,(Łódzkie)
Ford Fiesta Mk7,2012,89 000 km,1 250 cm3,19 000 PLN,PLN,Białystok,(Podlaskie)
Ford Fiesta Mk7,2011,81 500 km,1 242 cm3,17 500 PLN,PLN,Bielsko-Biała,(Śląskie)
Ford Fiesta Mk7,2009,142 000 km,1 242 cm3,16 800 PLN,PLN,Częstochowa,(Śląskie)
Ford Focus Mk3,2011,114 200 km,1 596 cm3,19 900 PLN,PLN,Nowy Dwór Mazowiecki,(Mazowieckie)
Ford Festiva,2009,141 000 km,1 245 cm3,12 900 PLN,PLN,Świdwin,(Zachodniopomorskie)
Ford Fiesta Mk7,2009,89 000 km,1 242 cm3,13 700 PLN,PLN,Ruda Śląska,(Śląskie)
Ford Fiesta Mk7,2010,132 333 km,1 245 cm3,13 200 PLN,PLN,Lubań,(Dolnośląskie)
Ford Fiesta Mk7,2012,108 000 km,Benzyna,9 900 PLN,PLN,Nakło nad Notecią,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,119 236 km,1 242 cm3,18 900 PLN,PLN,Chełmno,(Kujawsko-pomorskie)
Ford Focus Mk3,2015,75 000 km,999 cm3,9 100 PLN,PLN,Kraków,(Małopolskie)
Ford Focus Mk2,2009,148 000 km,1 596 cm3,16 900 PLN,PLN,Krzewie Wielkie,(Dolnośląskie)
Ford Fiesta Mk7,2009,89 544 km,1 200 cm3,11 900 PLN,PLN,Pawłowo,(Wielkopolskie)
Ford Fiesta Mk7,2009,107 000 km,1 200 cm3,14 900 PLN,PLN,Świdnica,(Dolnośląskie)
Ford Fusion,2010,133 000 km,1 388 cm3,5 900 PLN,PLN,Rytel,(Pomorskie)
Ford Fiesta Mk7,2009,116 000 km,1 225 cm3,15 900 PLN,PLN,Olsztyn,(Warmińsko-mazurskie)
Ford Fiesta Mk7,2009,150 000 km,1 388 cm3,18 900 PLN,PLN,Zamość,(Lubelskie)
Ford C-MAX I,2010,95 932 km,1 600 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Fiesta Mk7,2009,149 000 km,1 250 cm3,19 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Fiesta Mk7,2011,114 000 km,1 250 cm3,15 500 PLN,PLN,Złotoryja,(Dolnośląskie)
Ford C-MAX II,2013,130 094 km,1 000 cm3,4 600 EUR,EUR,Espalion,(Languedoc-Roussillon-Midi-Pyrénées)
Ford Fiesta Mk7,2009,124 000 km,1 242 cm3,17 300 PLN,PLN,Tomaszów Lubelski,(Lubelskie)
Ford Fiesta Mk7,2012,108 000 km,1 242 cm3,20 000 PLN,PLN,Kielce,(Świętokrzyskie)
Ford KA II,2010,148 000 km,1 200 cm3,12 900 PLN,PLN,Częstochowa,(Śląskie)
Ford Fiesta Mk7,2009,120 000 km,1 242 cm3,15 900 PLN,PLN,Słomniki,(Małopolskie)
Ford Focus Mk2,2009,134 000 km,1 596 cm3,18 900 PLN,PLN,Łaziska Górne,(Śląskie)
Ford Fiesta Mk7,2012,118 000 km,1 388 cm3,17 900 PLN,PLN,Jelenia Góra,(Dolnośląskie)
Ford Fiesta Mk7,2009,117 500 km,1 242 cm3,15 900 PLN,PLN,Gdynia,(Pomorskie)
Ford KA II,2009,135 000 km,1 250 cm3,12 900 PLN,PLN,Korzenna,(Małopolskie)
Ford KA II,2012,99 000 km,1 200 cm3,15 900 PLN,PLN,Warszawa,(Mazowieckie)
Ford Focus Mk3,2012,125 746 km,1 598 cm3,14 999 PLN,PLN,Kłobuczyn,(Dolnośląskie)
Ford KA II,2010,83 000 km,1 242 cm3,12 900 PLN,PLN,Wielmoża,(Małopolskie)
Ford Fiesta Mk7,2009,88 000 km,1 400 cm3,19 500 PLN,PLN,Wrocław,(Dolnośląskie)
Ford Focus Mk3,2015,110 000 km,1 499 cm3,16 900 PLN,PLN,Nieborowice,(Śląskie)
Ford KA II,2010,144 492 km,1 242 cm3,12 345 PLN,PLN,Jejkowice,(Śląskie)
Ford Fiesta Mk7,2009,143 808 km,1 250 cm3,17 490 PLN,PLN,Czersk,(Pomorskie)
Ford Fiesta Mk7,2011,120 000 km,1 250 cm3,6 750 PLN,PLN,Przemęt,(Wielkopolskie)
Ford Fiesta Mk7,2009,131 000 km,1 200 cm3,18 900 PLN,PLN,Rudnik Wielki,(Śląskie)
Ford KA II,2014,113 000 km,1 242 cm3,7 900 PLN,PLN,Wronki,(Wielkopolskie)
Ford Fiesta Mk7,2010,148 000 km,1 245 cm3,16 800 PLN,PLN,Luboń,(Wielkopolskie)
Ford Fiesta Mk7,2010,120 000 km,1 300 cm3,19 900 PLN,PLN,Chmielnik,(Świętokrzyskie)
Ford Fiesta Mk7,2010,130 123 km,1 250 cm3,18 900 PLN,PLN,Żory,(Śląskie)
Ford KA II,2012,78 156 km,1 242 cm3,7 900 PLN,PLN,Czerniewice,(Łódzkie)
Ford Fiesta Mk7,2009,127 000 km,1 400 cm3,18 900 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2009,126 000 km,1 400 cm3,19 999 PLN,PLN,Masłowo,(Wielkopolskie)
Ford Fiesta Mk7,2009,147 109 km,1 242 cm3,14 500 PLN,PLN,Rogów Sobócki,(Dolnośląskie)
Ford Focus Mk2,2011,150 000 km,1 596 cm3,19 800 PLN,PLN,Buczek,(Łódzkie)
Ford Fiesta Mk7,2009,130 000 km,1 242 cm3,19 999 PLN,PLN,Masłowo,(Wielkopolskie)
Ford Fiesta Mk7,2012,96 000 km,1 388 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Focus Mk3,2013,86 752 km,1 596 cm3,13 900 PLN,PLN,Łódź,(Łódzkie)
Ford Fiesta Mk7,2010,129 000 km,1 300 cm3,14 990 PLN,PLN,Chechło,(Małopolskie)
Ford KA II,2010,149 000 km,1 242 cm3,13 900 PLN,PLN,Truskolasy,(Śląskie)
Ford Fiesta Mk7,2010,143 515 km,1 250 cm3,19 850 PLN,PLN,Pruchna,(Śląskie)
Ford Fiesta Mk7,2010,110 000 km,1 250 cm3,17 900 PLN,PLN,Września,(Wielkopolskie)
Ford Fiesta Mk7,2009,137 000 km,1 200 cm3,16 999 PLN,PLN,Rzeszów,(Podkarpackie)
Ford Fiesta Mk7,2009,143 500 km,1 250 cm3,14 900 PLN,PLN,Nowy Targ,(Małopolskie)
Ford Fiesta Mk7,2009,140 643 km,1 242 cm3,17 900 PLN,PLN,Grudziądz,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,119 000 km,1 242 cm3,15 900 PLN,PLN,Żory,(Śląskie)
Ford Focus Mk2,2009,148 000 km,1 800 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Fusion,2009,120 080 km,1 242 cm3,13 333 PLN,PLN,Osielsko,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,144 000 km,Benzyna,15 900 PLN,PLN,Lębork,(Pomorskie)
Ford KA II,2009,115 000 km,1 200 cm3,14 500 PLN,PLN,Rabka-Zdrój,(Małopolskie)
Ford KA II,2009,150 000 km,1 250 cm3,11 900 PLN,PLN,Gromiec,(Małopolskie)
Ford Fiesta Mk7,2012,147 677 km,Benzyna,18 900 PLN,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Ford KA II,2009,110 000 km,1 242 cm3,13 500 PLN,PLN,Raków,(Świętokrzyskie)
Ford Focus Mk2,2011,129 123 km,1 598 cm3,17 300 PLN,PLN,Wałbrzych,(Dolnośląskie)
Ford Fiesta Mk7,2010,149 000 km,1 250 cm3,15 900 PLN,PLN,Zawiercie,(Śląskie)
Ford Fiesta Mk7,2009,114 571 km,1 242 cm3,18 700 PLN,PLN,Będzin,(Śląskie)
Ford Focus Mk2,2009,134 000 km,1 798 cm3,17 900 PLN,PLN,Poznań,(Wielkopolskie)
Ford Fiesta Mk7,2010,89 000 km,1 250 cm3,17 000 PLN,PLN,Sieradz,(Łódzkie)
Ford KA II,2014,98 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford KA II,2014,129 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford KA II,2014,139 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford Fiesta Mk7,2013,109 489 km,1 242 cm3,10 000 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2009,147 000 km,1 600 cm3,16 800 PLN,PLN,Jarocin,(Wielkopolskie)
Ford Fiesta Mk7,2010,100 000 km,1 200 cm3,17 900 PLN,PLN,Popowo Stare,(Wielkopolskie)
Ford Fiesta Mk7,2011,87 800 km,1 242 cm3,19 900 PLN,PLN,Wrocław,(Dolnośląskie)
Ford Fiesta Mk7,2009,133 000 km,1 300 cm3,17 200 PLN,PLN,Częstochowa,(Śląskie)
Ford KA II,2009,98 314 km,1 245 cm3,6 500 PLN,PLN,Jasienica,(Śląskie)
Ford Fiesta Mk7,2010,124 007 km,1 242 cm3,17 800 PLN,PLN,Zagórze,(Małopolskie)
Ford Fiesta Mk7,2010,124 007 km,1 242 cm3,17 800 PLN,PLN,Zagórze,(Małopolskie)
Ford Fiesta Mk7,2009,106 813 km,1 242 cm3,18 800 PLN,PLN,Gliwice,(Śląskie)
Ford Fiesta Mk7,2010,121 972 km,1 388 cm3,18 900 PLN,PLN,Gryfino,(Zachodniopomorskie)
Ford KA II,2009,122 000 km,1 200 cm3,14 900 PLN,PLN,Orzech,(Śląskie)
Ford Fiesta Mk7,2010,126 000 km,1 300 cm3,18 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Focus Mk3,2011,130 000 km,1 600 cm3,19 900 PLN,PLN,Ostrów Mazowiecka,(Mazowieckie)
Ford B-MAX,2014,103 000 km,1 000 cm3,19 900 PLN,PLN,Szamocin,(Wielkopolskie)
Ford Fiesta Mk7,2012,97 000 km,Benzyna,19 900 PLN,PLN,Poniec,(Wielkopolskie)
